Fecha;14/01/2025 16:34:43;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
COD_ART;NOM_ART;COD_GRU;Cj/H;Disponible;Calidad;Stock Externo;Pedido;1ª OF;OF;Cob-15;Vta -15;M_Vta -15;Vta -60;M_Vta-60;Vta -15 AA;M_Vta -15 AA;Vta +15 AA;M_Vta +15 AA;% Vta-15/ AA;% Vta-15/ +15 AA
438801;Panecillo con Semillas;VIME;138,83391;0;0;140;0;(en blanco);(en blanco);2,9;44;2,9;378;6,3;58;3,9;18;1,2;75,9 %;21,5 %
453211;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;4.816;321,1;3.080;205,3;;10,4 %
453221;Panecillo 100% Integral;VIME;108,80043;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;2.744;182,9;6.356;423,7;;2,9 %
453223;Panecillo 100% Integral;VIME;102,00064;0;0;(en blanco);0;(en blanco);(en blanco);;;;;;;;252;16,8;;
453233;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);;;;1;0,0;;;;;;
453241;Panecillo 100% Integral;VIME;113,63273;0;0;(en blanco);0;(en blanco);(en blanco);3,7;56;3,7;438;7,3;;;;;0,0 %;
453243;Panecillo 100% Integral;VIME;123,95874;0;0;525;560;(en blanco);(en blanco);11,6;174;11,6;1.150;19,2;;;;;0,0 %;
453251;Panecillo 100% Integral;VIME;118,69587;0;0;224;1148;13/01/2025;1818;39,2;588;39,2;21.868;364,5;;;;;0,0 %;
454001;Panecillo 100% Integral;VIME;98,9047;0;0;(en blanco);0;(en blanco);(en blanco);;;;155;2,6;3;0,2;7;0,5;;2,9 %
5718540;Panecillo con  Semillas;VIME;138,85714;0;0;1540;392;11/01/2025;1768;54,1;812;54,1;16.857;281,0;1.992;132,8;3.085;205,7;40,8 %;4,3 %
5718619;Pulguita;MEC;160,291;0;0;1428;420;16/01/2025;2116;3,7;56;3,7;10.612;176,9;4.007;267,1;3.366;224,4;1,4 %;7,9 %
5720811;Baguetina Cereales;VIME;107,09612;0;0;672;112;11/01/2025;1549;48,5;728;48,5;13.273;221,2;;;;;0,0 %;
604301;Pepito Easy Pack 5 uds;MEC;166,21437;0;0;(en blanco);0;(en blanco);(en blanco);0,7;11;0,7;191;3,2;;;;;0,0 %;
